1 [9, 158, 61]
1 [165, 158, 61]
1 [145, 63, 158]
1 [145, 63, 23]
1 [145, 158, 23]
1 [63, 158, 23]
1 [11, 108, 53]
1 [11, 108, 166]
1 [11, 53, 166]
1 [108, 53, 166]
1 [160, 137, 67]
1 [160, 137, 7]
1 [160, 67, 7]
1 [137, 67, 7]
1 [51, 117, 6]
1 [51, 117, 135]
1 [51, 6, 135]
1 [117, 6, 135]
1 [72, 131, 157]
1 [72, 131, 135]
1 [72, 157, 135]
1 [131, 157, 135]
1 [47, 147, 77]
1 [47, 147, 127]
1 [47, 77, 127]
1 [147, 77, 127]
1 [160, 137, 67]
1 [160, 137, 142]
1 [160, 67, 142]
1 [137, 67, 142]
1 [72, 120, 131]
1 [72, 120, 157]
1 [72, 131, 157]
1 [120, 131, 157]
1 [129, 58, 150]
1 [129, 58, 31]
1 [129, 150, 31]
1 [58, 150, 31]
1 [144, 80, 0]
1 [144, 80, 49]
1 [144, 0, 49]
1 [80, 0, 49]
1 [152, 10, 59]
1 [152, 10, 163]
1 [152, 59, 163]
1 [10, 59, 163]
1 [64, 17, 52]
1 [64, 17, 159]
1 [64, 52, 159]
1 [17, 52, 159]
1 [114, 108, 53]
1 [114, 108, 166]
1 [114, 53, 166]
1 [108, 53, 166]
1 [145, 23, 141]
1 [145, 23, 63]
1 [145, 141, 63]
1 [23, 141, 63]
1 [47, 147, 109]
1 [47, 147, 127]
1 [47, 109, 127]
1 [147, 109, 127]
1 [79, 12, 93]
1 [79, 12, 103]
1 [79, 93, 103]
1 [12, 93, 103]
1 [1, 98, 115]
1 [1, 98, 37]
1 [1, 115, 37]
1 [98, 115, 37]
1 [129, 31, 149]
1 [129, 31, 97]
1 [129, 149, 97]
1 [31, 149, 97]
1 [136, 65, 91]
1 [136, 65, 44]
1 [136, 91, 44]
1 [65, 91, 44]
1 [123, 92, 54]
1 [123, 92, 39]
1 [123, 54, 39]
1 [92, 54, 39]
1 [88, 66, 35]
1 [88, 66, 133]
1 [88, 35, 133]
1 [66, 35, 133]
1 [120, 12, 93]
1 [120, 12, 30]
1 [120, 93, 30]
1 [12, 93, 30]
1 [108, 53, 38]
1 [108, 53, 71]
